index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
127,1,0,1,0,0,3,다리 벌려 옆으로 상체 숙이기,https://www.youtube.com/watch?v=4Sh-l6LW2io,0
128,1,0,1,0,0,4,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
129,1,0,1,0,0,5,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
130,1,0,1,0,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
131,1,0,1,0,2,2,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
132,1,0,1,0,2,3,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
133,1,0,1,0,2,4,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
134,1,0,1,0,2,5,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
135,1,0,1,1,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
136,1,0,1,1,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
137,1,0,1,1,1,3,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
138,1,0,1,1,1,4,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
139,1,0,1,1,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
140,1,0,1,1,0,1,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
141,1,0,1,1,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
142,1,0,1,1,0,3,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
143,1,0,1,1,0,4,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
144,1,0,1,1,0,5,팔 벌려 뛰기,https://www.youtube.com/watch?v=weBc5JQ__50,0
145,1,0,1,1,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
146,1,0,1,1,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
147,1,0,1,1,2,3,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
148,1,0,1,1,2,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
149,1,0,1,1,2,5,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
150,1,0,1,2,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
151,1,0,1,2,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
152,1,0,1,2,1,3,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
153,1,0,1,2,1,4,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
154,1,0,1,2,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
155,1,0,1,2,0,1,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
156,1,0,1,2,0,2,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
157,1,0,1,2,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
158,1,0,1,2,0,4,다리 벌려 옆으로 상체 숙이기,https://www.youtube.com/watch?v=4Sh-l6LW2io,0
159,1,0,1,2,0,5,몸통 비틀기,https://www.youtube.com/watch?v=rsRM5ivIHCw,0
160,1,0,1,2,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
161,1,0,1,2,2,2,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
162,1,0,1,2,2,3,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
163,1,0,1,2,2,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
164,1,0,1,2,2,5,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
165,1,0,1,3,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
166,1,0,1,3,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
167,1,0,1,3,1,3,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
168,1,0,1,3,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
169,1,0,1,3,1,5,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
170,1,0,1,3,0,1,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
171,1,0,1,3,0,2,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
172,1,0,1,3,0,3,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
173,1,0,1,3,0,4,다리 벌려 옆으로 상체 숙이기,https://www.youtube.com/watch?v=4Sh-l6LW2io,0
174,1,0,1,3,0,5,다리모아 무릎 누르기,https://www.youtube.com/watch?v=ETIxjvO9jIA,0
175,1,0,1,3,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
176,1,0,1,3,2,2,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
177,1,0,1,3,2,3,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
178,1,0,1,3,2,4,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
179,1,0,1,3,2,5,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
180,1,0,0,0,1,1,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
181,1,0,0,0,1,2,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
182,1,0,0,0,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
